domain,source_type,datestamp,content,annotater1,annotater2,annotater3,ground_truth,ground_truth_label
divaina.lk,news website,4/26/2024 0:00,ප්‍රසිද්ධ බැංකුවක් මගින් පවත්වන ලද මංගල දිනුම් ඇදීමකින් රුපියල් ලක්ෂ 13ක ත්‍යාගයක් දිනාගත් ජයග්‍රාහකයින් නාමලේඛනය අද නිකුත් කෙරිණි. ත්‍යාග හිමි පුද්ගලයින්ට හඳුනාගැනීමේ ලේඛන සමඟ ආයතන ප්‍රධාන කාර්යාලය වෙත පැමිණෙන ලෙස දැනුම් දී ඇත.,False,False,False,0,FALSE
divaina.lk,news website,10/12/2020 0:00,ගම්පහ දිස්ත්‍රික්කයේ නිරෝධායන ඇඳිරිනීිතිය ක්‍රියාත්මක පොලිස් බල ප්‍රදේශ 18 තුළ පිහිටි ඔසු සැල් සහ සියලුම අලෙවි සැල් හෙට (13දා)සිට 15 වැනිදා බ්‍රහස්පතින්දා තෙක් වසා දමන බව යුද හමුදාපති ශවෙන්ද්‍ර සිල්වා මහතා සඳහන් කරයි.,True,True,True,1,TRUE
bbc.com/sinhala,news website,2/27/2020 0:00,"කොරෝනාවෛරසය සම්බන්ධයෙන් ""පූර්ව ආරක්ෂක පියවර"" අනුගමනය කිරීමට නියමිත නමුත්, මාර්තු මස පැවැත්වීමට නියමිත ශ්‍රී ලංකා, එංගලන්ත ටෙස්ට් ක්‍රිකට් තරගාවලිය සඳහා එංගලන්ත කණ්ඩායම ශ්‍රී ලංකාවට පැමිණීම අවලංගු කර නැති බව එංගලන්ත සහ වේල්සයේ ක්‍රිකට් පාලක මණ්ඩලය පවසයි. කෙසේනමුත්, පවතින තත්වය පිළිබඳ ""නිරන්තරයෙන් අධීක්ෂණය කරන"" බව ද පාලක මණ්ඩලය නිකුත් කළ නිවේදනයක දැක්වේ. දෙසැම්බර් මස දකුණු අප්‍රිකානු සංචාරය ආරම්භයේදී කොරෝනාවෛරසය හේතුවෙන් එංගලන්ත කණ්ඩායමට දැඩි බාධකවලට මුහුණ දීමට සිදු විය. ""මෙම අවස්ථාවෙහිදී, අපගේ වෛද්‍ය විශේෂඥයන්ගේ සහ විදෙස් කාර්යාංශයේ උපදෙස් අනුව, කොරෝනාවෛරසය හේතුවෙන් ශ්‍රී ලංකා සංචාරයට අවදානමක් තිබෙන බවට කිසිදු ඇඟවීමක් නොමැති,"" බව එංගලන්ත ක්‍රිකට් පාලක මණ්ඩල ප්‍රකාශකයෙක් පැවසීය. ""අපගේ දැනුමට අනුව, ශ්‍රී ලංකාවේ වාර්තා වී ඇත්තේ එක් කොරෝනාවෛරස ආසාදිතයෙක් පමණයි. එය එක්සත් රාජධානියට වඩා අඩු සංඛ්‍යාවක් වන අතර, තවදුරටත් වෛරසය පැතිරීම සඳහා ඉහළ අවදානම් සහිත රටක් ලෙස ශ්‍රී ලංකාව සැලකෙන්නේ නැහැ. නමුත්, මේ තත්වය නිරන්තරයෙන් අධීක්ෂණය කරමින්, එංගලන්ත සහ වේල්ස ක්‍රිකට් පාලක මණ්ඩලය ශ්‍රී ලංකාවේ සෞඛ්‍ය අංශ සමග නිරන්තරයෙන් සම්බන්ධ වෙනවා.""""ශ්‍රී ලංකාවට යන ක්‍රීඩකයින් සහ නිලධාරීන් සඳහා පූර්ව ආරක්ෂක පියවර අනුගමනය කරනවා. ප්‍රතිශක්තිය හැකි උපරිම මට්ටමක පවත්වා ගැනීම ඕනෑම රෝගයක් වළක්වා ගැනීම සඳහා උපකාර වෙනවා,"" ප්‍රකාශකයා තවදුරටත් පැවසීය. කොදෙව්වන්ට එරෙහිව 'විශිෂ්ට' ජයක්මේ අතර බටහිර ඉන්දීය කොදෙව් කණ්ඩායම සමග පවතින එක්දින ක්‍රිකට් තරගාවලියේ තවත් තරගයක් ලකුණු 161කින් ජයග්‍රහණය කිරීමට ශ්‍රී ලංකා කණ්ඩායම බදාදා සමත් විය. කාසියේ වාසිය හිමි කරගත් බටහිර ඉන්දීය කොදෙව් පිළ ශ්‍රී ලංකා කණ්ඩායමට ප්‍රථමයෙන් පන්දුවට පහරදීමට ආරාධනා කළ අතර, එහිදී ශ්‍රී ලංකා කණ්ඩායමේ මුල් කඩුලු 2 ලකුණු 9 කදී බිඳ දැමීමට කොදෙවු පිල සමත් විය. ඉන් අනතුරුව අවිශ්ක ප්‍රනාන්දු සහ කුසල් මෙන්ඩිස් ශ්‍රී ලංකා ඉනිමේ තුන්වැනි කඩුල්ල වෙනුවෙන් ලකුණු 239ක සබඳතාවක් ගොඩනගා ගත්හ. ලකුණු 345ක ඉලක්කයක් හඹා ගිය බටහිර ඉන්දීය කොදෙව් කණ්ඩායම පන්දුවාර 39ක් අවසානයේදී සියලු ක්‍රීඩකයන් දැවී රැස් කිරීමට හැකි වූයේ ලකුණු 184ක් පමණි.අවිශ්ක ප්‍රනාන්දු ලකුණු 127 ක් රැස් කළ අතර, කුසල් මෙන්ඩිස් ලකුණු 119ක් රැස් කිරීමට සමත් විය. තරගය අතරතුර දී විදුලි ආලෝක කුළුණක ඇති වූ කාර්මික දෝෂයක් හේතුවෙන් තරගය තාවකාලිකව නැවැත්වීමට ද සිදුවිය. එමෙන්ම, තරගය අතරතුර ප්‍රවේශපත්‍ර මිලදී ගැනීමට පැමිණි පිරිසක් ඉවත් කිරීමට ආරක්ෂක අංශ දැරූ උත්සහයක දී ක්‍රීඩා ලෝලීන් විශාල පිරිසක් ප්‍රවේශපත් කවුළු අසල දී ප්‍රහාරයකට ලක් වී තිබිණ. ගැටුම පිළිබඳව අදහස් දක්වමින් ක්‍රීඩා හා තරුණ කටයුතු අමාත්‍ය ඩලස් අලහප්පෙරුම කියා සිටියේ, මේ සම්බන්ධයෙන් වහාම සොයා බලා වාර්තාවක් ලබාදෙන ලෙස ක්‍රීඩා අමාත්‍යාංශයේ ලේකම්වරයාට සහ ශ්‍රී ලංකා ක්‍රිකට් පාලක මණ්ඩලය වෙත නියෝග කළ බවය. සිදුවීම සම්බන්ධයෙන් සමස්ත ක්‍රිකට් ලෝලීන්ගෙන් සමාව ඉල්ලා සිටින බව ද අමාත්‍යවරයා පැවසීය. ශ්‍රී ලංකා සහ බටහිර ඉන්දිය කොදෙව් කණ්ඩායම් අතර පැවැති පළමු එක්දින ක්‍රිකට් තරගය ශ්‍රී ලංකාව ජයගත්තේ එක් කඩුල්ලකිනි. කාන්තා 20 20 ක්‍රිකට් ලෝක කුසලාන තරගාවලියමේ දිනවල පැවැත්වෙන විස්සයි විස්ස කාන්තා ලෝක කුසලාන තරගාවලියේ දී අඟහරුවාදා ඕස්ට්‍රේලියානු කණ්ඩායමට තියුණු තරගයක් දෙමාට ශ්‍රී ලංකා කාන්තා පිල සමත් වුව ද, දුර්වල පන්දු රැකීම් හමුවේ තරගය අවසාන වීමට පන්දු තුනක් තිබිය දී ජයග්‍රාහී ඉලක්කය කරා ළඟා වීමට ඕස්ට්‍රේලියානු කණ්ඩායම සමත් විය. මෙහි දී හයේ පහර දෙකක් සමගින් නායක චමරී අතපත්තු පන්දු 38කදී අර්ධ ශතකයක් රැස් කළ අතර, උමේෂා තිමාෂිනී ලකුණු 20 ක් ද, කඩුලු රකින ක්‍රීඩිකා අනුශ්කා සංජීවනී ලකුණූ 25ක් ද රැස් කළාය.ශ්‍රී ලංකා කණ්ඩායම කඩුලු 6ක් දැවී නියමිත පන්දුවාර 20 තුළ ලකුණු 122 ක් රැස් කළේය. පළමුවන පන්දුවාර හය තුළ ඕස්ට්‍රේලියානු කණ්ඩායම ලකුණු 19කට කඩුලු තුනක් දැවී ගිය නමුත්, අවසන් පන්දු වාරයේ දී තරගය ජයග්‍රහණය කිරීමට ඕස්ට්‍රේලියානු කාන්තා කණ්ඩායම සමත් විය. තරගාවලියේ දී ශ්‍රී ලංකා කණ්ඩායම ප්‍රථමයෙන් මුහුණ දුන් නවසීලන්තයට එරෙහිව පැවති තරගයේ දී නවසීලන්ත කණ්ඩායම කඩුලු හතක ජයග්‍රහණයක් අත්කර ගත්තේය. පෙබරවාරි 29 වෙනි දින ශ්‍රී ලංකාව ඉන්දියානු කණ්ඩායම සමග තරග වැදීමට නියමිතය.මේ තොරතුරුද කියවන්න:මිකී ආතර්: වසර අටක් ඇතුළත ශ්‍රී ලංකා ක්‍රිකට් කණ්ඩායමේ 11 වෙනි පුහුණුකරු චමරි අතපත්තු ශ්‍රී ලංකා කණ්ඩායමේ නායකත්වයට ""කාන්තා ක්‍රිකට් ආර්ථිකය හදාගන්න අපි මහන්සිවෙන්න ඕනේ"" වසරේ හොඳම ක්‍රීඩකයා බෙන් ස්ටෝක්ස් ඕස්ට්‍රේලියානු ක්‍රිකට් ක්‍රීඩිකාවන්ට මාතෘ නිවාඩු",True,True,True,1,TRUE
newshub.lk,news website,11/3/2020 0:00,"ලොව ප්‍රථම වරට සොයාගත් ජෙලිෆිෂ් විශේෂයක් ශ්‍රී ලංකාවේ වයඹ විශ්ව විද්‍යාලයේ පර්යේෂණ කණ්ඩායමක් විසින් සොයාගෙන ඇත.
එම විශේෂය ශ්‍රී ලංකාව විසින් හඳුන්වා දුන් ‘Carybdea wayamba’ විශේෂය ලෙස නම් කර ඇත.",True,True,True,1,TRUE
lankacnews.com,news website,11/4/2020 0:00,"පොලිස් විශේෂ කාර්ය බලකායේ කදවුරු 03ක් හුදෙකලා කර ඇත. කොරෝනා පැතිරීම වැළැක්වීමේ ජාතික ක්‍රියාත්මත මධ්‍යස්ථානය සඳහන් කරන්නේ කොරෝනා වෛරසය ආසාදනය වූ සෙබළුන් වාර්තා වීම නිසා මෙම පියවර ගත් බවයි. රාජගිරිය, කැලණිය, කළුබෝවිල විශේෂ කාර්ය බපකා කදවුරු මෙසේ හුදකලා කර ඇත. පොලිස් විශේෂ කර්ය බලකා 56 දෙනකුට දැනට වෛරසය ආසාදනය වී තිබේ. මෙරට ප්‍රභූ ආරක්ෂක සේවාවට අනුයුක්තව සේවය කරන පොලිස් විශේෂ කාර්ය බලකා සෙබළුන් වැඩි ප්‍රමාණයක් රැඳී සිටින්නේ රාජගිරියේ පිහිටි විශේෂ කාර්ය බලකා කඳවුරේ ය.",True,True,True,1,TRUE
deshaya.lk,news website,3/6/2024 0:00,අයහපත් කාලගුණික තත්ත්වය හේතුවෙන් රටපුරා පාසල් තවත් දින 8කින් වසා තැබීමට අධ්‍යාපන අමාත්‍යාංශය තීරණය කර ඇති බව අමාත්‍යාංශ ආරංචි මාර්ග පවසයි.,False,False,False,0,FALSE
lankaenews.lk,news website,7/22/2020 0:00,රාජ්‍ය සේවයේ නිරතව සිට විශ්‍රාම ගිය ලක්ෂ 6ක් පමණ වන සියලුම විශ්‍රාමිකයනට අග්‍රහාර රක්ෂණ ප්‍රතිලාභ ප්‍රදානය කිරීම සම්බන්ධයෙන් අග්‍රාමාත්‍යවරයා විසින් ඉදිරිපත් කරන ලද යෝජනාවට අද පැවති අමාත්‍ය මණ්ඩල රැස්වීමේ දී අනුමැතිය ලැබී තිබෙනවා . ආග්‍රාමාත්‍ය කාර්යාලය නිකුත් කළ නිවේදනයක දැක්වෙන්නේ මින් පෙර අග්‍රහාර රක්ෂණ ප්‍රතිලාභ හිමි වූයේ 2016 ජනවාරි 01 දිනට පසු විශ්‍රාම ගිය රජයේ සේවකයනට පමණක් බවත් ඉන් ප්‍රතිලාභ ලැබූ පිරිස සමස්ත විශ්‍රාමිකයන්ගෙන් 10% පමණක් බවත්ය . නමුත් 2016 ජනවාරි 01 දිනට පෙර විශ්‍රාම ගිය 6 ලක්ෂයක් පමණ දෙනාට අග්‍රහාර රක්ෂණයට දායකවීමේ අවස්ථාවක් මෙතෙක් ලැබී නොතිබුණු අතර අග්‍රාමාත්‍යවරයා පෙන්වා දුන් පරිදි විශ්‍රාමිකයින් සඳහා අග්‍රහාර රක්ෂණ ප්‍රතිලාභ ප්‍රදානය කිරීමේදී විෂමතාවක් නිර්මාණය වී ඇතැයි අද පැවති අමාත්‍ය මණ්ඩල රැස්වීමේ දී නිරීක්ෂණය වූ බව එම නිවේදනයේ සඳහන් . ඒ හේතුවෙන් මෙම විෂමතාව ඉවත් කොට 2016 ජනවාරි 01 වැනි දිනට පෙර විශ්‍රාම ලැබූ සියලුම රජයේ සේවකයන්ට ද ප්‍රතිලාභ අත්වන අයුරින් රක්ෂණ ක්‍රමය පුළුල් කිරීමට අමාත්‍ය මණ්ඩලය අද තීරණය කර තිබෙනවා .,True,True,True,1,TRUE
newshub.lk,news website,11/1/2020 0:00,"ඇඳිරි නීති බලපත්‍ර වෙනුවට සේවා හැඳුනුම්පත යොදාගත හැකි ආයතන 80 ක් වැඩබලන පොලිස්පතිවරයා විසින් ප්‍රකාශයට පත් කර තිබෙනවා.
ඒ සම්බන්ධයෙන් සියලුම පළාත් භාර ජ්‍යෙෂ්ඨ නියෝජ්‍ය පොලිස්පතිවරුන් ඇතුලු උසස් පොලිස් නිලධාරීන් දැනුවත් කරමින් පොලිස්පතිවරයා ලිපියක් ද යොමුකර ඇති බවයි පොලිස් මූලස්ථානය සඳහන් කරන්නේ.
ඊට අමාත්‍යාංශ, දෙපාර්තමේන්තු, සංස්ථා, මණ්ඩල, අධිකාරී සහ සියලුම මාධ්‍ය ආයතන ද ඇතුළත්.
කෙසේ වෙතත් ඇඳිරි නීිති කාලය තුළ තම සේවා හැඳුනුම්පත අවභාවිතා කරමින් නිරෝධායන නීතිවලට පටහැනිව කටයුතු කරන තැනැත්තන්ට එරෙහිව නීතිමය ක්‍රියාමාර්ග ගන්නා ලෙසද වැඩබලන පොලිස්පතිවරයා අදාළ ලිපියෙන් දැනුම්දී තිබෙනවා.
එම ආයතන ලැයිස්තුව පහතින්.",False,False,False,0,FALSE
lankadeepa.lk,news website,9/8/2020 0:00,(පත්මා කුමාරි කංකානම්ගේ)  කල්පිටිය පොලිස් බල ප්‍රදේශයට අයත් හාලතුඩාව මංසන්ධියේ දී මෝටර් රථයකින් ප්‍රවාහනය කරමින් තිබූ රත්තරන් කිලෝ 10 ක් එක් සැකකරුවකු සමඟ පුත්තලම පොලිස් විශේෂ කාර්ය බළකායේ මෙහෙයුම් ඒකකය විසින් අද (8) අත්අඩංගුවට ගනු ලැබීය.    මෙම රත්තරන් කන්දකුලිය වෙරළ තීරය ඉන්දියාවට ප්‍රවාහනය කිරිමට සුදානම් කර තිබූ බව සැකකරුගෙන් කළ ප්‍රශ්න කිරිම් වලදී අනාවරණය වී තිබේ.  රන් කිලෝ 10 සහ සැකකරු රේගු දෙපාර්තුමේන්තුවේ කටුනායක උප කාර්‍යාලයට හාරදීමට නියමිතව ඇත.  කල්පිටිය කන්ද කුලිය පදිංචි 35 හැවිරිදි සැකකරු මෙම රන් තොගය ඉන්ද්යාවට යැවීම පිණිස වෙනත් අයෙකුට හාර දීමට රැගෙන ආ ඒවා බැව් ප්‍රශ්න කිරීමේ දී අණාවරණය වී ඇත.    (ඡායාරූප -හිරාන් ප්‍රියංකර ජයසිංහ),True,True,True,1,TRUE
newsfirst.lk,news website,11/4/2020 0:00,"COLOMBO (News1st) : තවත් කොරෝනා ආසාදිතයින් 274 ක් හඳුනා ගත් බව රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව පවසයි. ඉන් 267 දෙනෙකු පෑලියගොඩ පොකුරේ ආශ්‍රිතයින් අතරින් හඳුනා ගෙන ඇති අතර ඉතිරි 7 දෙනා හඳුනා ගෙන ඇත්තේ, නිරෝධායන මධ්‍යස්ථාන ආශ්‍රිතවයි. ඒ අනුව මෙරට සමස්ත කොරෝනා ආසාදිතයින් සංඛ්‍යාව 12,018ක් බව අතර මේ වනවිට සුවය ලබා ඇති රෝගීන් සංඛ්‍යාව 5,858කි.",True,True,True,1,TRUE
deshaya.lk,news website,9/23/2025 0:00,මාතලේ ප්‍රදේශයේ ආරක්ෂක හේතූන් මත හෙට දිනයේ පැය 12ක් සඳහා ජංගම අන්තර්ජාල සේවාව සම්පූර්ණයෙන් අත්හිටුවනු ලබන බව විදුරුම්පුවර නියාමන කොමිසම දැනුම් දෙයි.,False,False,False,0,FALSE
gosip.hirufm.lk,news website,6/7/2021 0:00,"ප්‍රසිද්ධ සමාගමක යෝගට් වර්ගයක් අනුභව කිරීමෙන් රත්නපුර ප්‍රදේශයේ පවුලක සාමාජිකයින් 5දෙනෙකු විෂ වීමට ලක්ව රෝහල් ගත කර ඇති බව රත්නපුර මූලික රෝහල් ආරංචි මාර්ග පවසයි. එම නිෂ්පාදනයේ සාම්පල පරීක්ෂණය සඳහා රසායනාගාරයට යොමු කර ඇති බවත්, ප්‍රතිඵල ලැබෙන තෙක් එම නිෂ්පාදනය මිලදී නොගන්නා ලෙසත් සෞඛ්‍ය අංශ ජනතාවගෙන් ඉල්ලා සිටී.",False,False,False,0,FALSE
gosip-lankanews.com,news website,7/8/2025 0:00,නුවරඑළිය ප්‍රදේශයේදී පාසල් සිසුන් 3දෙනෙකු පැහැරගැනීමට තැත් කළ සැකකරුවන් දෙදෙනෙකු නුවරඑළිය පොලීසිය විසින් අත්අඩංගුවට ගෙන ඇත. සුදු පැහැති වෑන් රථයක් තුළින් පැමිණි මොවුන් දරුවන් රැගෙන යාමට උත්සාහ කර ඇති බව දෙමාපියන් පොලීසියට කළ පැමිණිල්ලක සඳහන් වේ. සැකකරුවන් රිමාන්ඩ් අත්තිකාරම් බන්ධනාගාරගත කර ඇති බව පොලීසිය සඳහන් කළේය.,False,False,False,0,FALSE
gossiplankanews.com,news website,11/3/2020 0:00,ඇඳිරි නීතිය පනවා ඇති ප්‍රදේශවල අත්‍යාවශය සේවා කටයුතු සිදුකරගෙන යාම සඳහා අවසරය ලබාදී ඇති රාජ්‍ය / අර්ධ රාජ්‍ය ආයතන හෝ ව්‍යවස්ථාපිත මණ්ඩලයක හෝ සංස්ථාවක් ඇතුළු ආයතන සංඛ්‍යාව 107ක් දක්වා ඉහළ දමා ඇති බවට පොලිස් මුලස්ථානය නිවේදනයක් නිකුත් කරමින් ප්‍රකාශ කර සිටියි.,True,True,True,1,TRUE
lankacnews.com,,11/2/2020 0:00,"මෙරටට බලපා ඇති කොරා්නා වසංගතය දුරුවේවායි ඇයි ප‍්‍රාර්ථනා කරමින් සිරි සදහම් ආශ්‍රමය විසින් රට පුරා ගුවනින් පිරිත් පැන් ඉසීමේ කර්තව්‍යයක් සිදු කර තිබේ. එම විහාරාධිපති සිරි සමන්තභද්‍ර හිමියන් විසින් පෞද්ගලික හෙලිකොප්ටර යානාවක නැගී මෙම කටයුත්ත සිදු කර ඇත. ඒ සම්බන්ධයෙන් සිරි සදහම් ආශ්‍රමය විසින් සමාජ ජාල ගිණුමේ තබා ඇති සටහන මෙසේය. අධ්‍යාත්මීය සත්‍යක්‍රියාවේ මහා පෙළහැර ශ්‍රී ලංකීය ඉතිහාසයේ ප්‍රථම වතාවට මෙරට සිව්කොණ හා රට හරි මැදට, ධර්මය ප්‍රත්‍යක්ෂ කළ, ධර්මයේ සදහන් පරිදිම “අට්ට පුරිස පුග්ගලා” මග ඵල ලාභී සහ මග ඵල ලබන මාර්ගයට පිළිපන්න අට මහා පිරිසෙන් සමන්විත සිරි සමන්තභද්‍ර අරහත් මහා ස්වාමීන්වහන්සේ ප්‍රමුඛ උමන්දාවාසි මහා සංඝයා වහන්සේ විසින්, මහානුභාව සම්පන්න රතන සූත්‍ර දේශනාව පෙරයම, මැදියම හා අළුයම යන තුන් යාමය මුළුල්ලේ පිරිත් කළ පිරිත් පැන්, වා තලය හරහා හෙළ ධරණි තලය සිපගැනීමේ ඒ අසිරිමත් කර්තව්‍යය මෙසේ සනිටුහන් කළ වගයි… රටේ පවතින වත්මන් වසන්ගතකාරී තත්වය තුළ සංචරණ සීමා, නිරෝධායන ඇදිරිනීති තත්වයන් තුළ පිංකම් ආදිය සිදු කිරීම පහසු කටයුක්තක් නොවන බව සැවොම දන්නා කාරණයකි. එයිනුත් මහා පුණ්‍ය කටයුත්තක් සිදු කොට එහි අවසාන පියවර ගුවනේ සිට සිදු කිරීම කොතරම් අසීරු වනවාද යන්න ඔබට සිතා ගත හැක. ඔබ පුදුමයට පත් වන්නේ මෙම අසීරු කාර්යය දින දෙකක් ඇතුලත සිදු කළ බව ඇසූ විටය. සැබවින්ම එය සත්‍යකි. දින දෙකක් ඇතුළත රත්මලාන ගුවන් තොටුපලේ සිට පෞද්ගලික හෙලිකොප්ටර් යානයක් උමංදාව වෙත පැමිණ පිරිත් පැන් අතැතිව සිරි සමන්තභද්‍ර ස්වාමින්වහන්සේ ඇතුළු පිරිස ප්‍රථමයෙන් ලංකාවේ මධ්‍ය ලක්ෂය වන මාතලේ නාලන්දා ගෙඩිගේ වෙතත් ඉන් අනතුරුව ලංකාවේ උතුරින් පේදුරුතුඩුව වෙතත්, දකුණින් දෙව්න්දර තුඩුව වෙතත්, නැගෙනහිරින් සංගමන්කන්ද තුඩුව වෙතත්, බටහිරින් තලෙයිමන්නාරම වෙතටත් ගමන් ඇරඹීමට සියලු කටයුතු සුදානම් විය. එක් වරුවකින් ඉතා අලංකාර ලෙස ඉදිකළ පිරිත් මණ්ඩපය ද පුදුම විය යුතු කාරණයකි. එසේ දින දෙකක් තුළ සියලු කටයුතු සුදානම් කිරීම උමංදාව මහා විහාරයේ සිව්වනක් පිරිස ගැන හා සිරි සමන්තභද්‍ර මහා ස්වාමින්වහන්සේ ගැන දන්නා අයට නම් එය පුදුම වියයුතු කාරණයක් නොවේ. මන්දයත් අත්හැර දමා තිබූ වල් වැදුණු භූමියක් වසර හතරක් ඇතුලත ඉතා මනස්කාන්ත සුරම්‍ය භූමියක් බවට පත්ව ඇත්තේ ද උක්ත දෙපිරිස නිසාවෙනි. මේ කටයුත්ත සදහා උර දෙමින් චමින්ද සිරිසේන, අජිත් ද සොයිසා සහ මලික් දයාශාන් යන මහත්වරුන් ඇතුලු පිරිස උන්වහන්සේ පිටුපස විය. කවදත් උමංදාව පිළිබඳව මෙවැනි ඇස් අදහා ගත නොහැකි දෑ සමාජ ගත කළ හරේන්ද්‍ර ජයලාල් මහතාද මෙම අසිරිමත් පුණ්‍ය කටයුත්ත පුරාවට උන්වහන්සේ සමග විය. මෙලෙස පූර්ව කටයුතු සුදානම්ව තුන්යම මුළුල්ලේම සොළසයක් වූ උමංදාව මහා සංඝයා වහන්සේලා රතන සූත්‍ර දේශනය පවත්වන ලදී. පසු දා පහන්ව උමන්දාවෙන් නික්මුණු හෙලිකොප්ටර් යානය ලක්දිව මධ්‍ය ලක්ෂය හා සිව්කොන වෙත ගමන් අරඹා ගුවනේ සිට සිරි සමන්තභද්‍ර මහා මුනිවරයාණන් වහන්සේ විසින් පිරිත් පැන් ඉසින ලදී. මෙය සම්ප්‍රදායික පිරිත් දේශයක් නොවන අතර මග ඵල ලැබූ උතුමන් විසින් සිදු කරන ලද සමාජ මෙහෙවරකි. රතන සූත්‍රයේ සදහන් පරිදි ගැටළු හමුවේ නොසැලී සිටීමේ චිත්ත ශක්තිය අවධි කරලීමෙන් පවතින වසංගත තත්වය දුරුව රටට සෞභාග්‍ය උදා වේ යන අදිටන පෙරදැරිව ඔබ සැම පිං අනුමෝදම් විය යුතුය. – Siri Sadaham Ashramaya",False,False,False,0,FALSE
